drill_id,mic_type,mic_id,position,sr,filepath_wav
01,common,Tr2,ext,96000,data/standardized/drill_4mm_01_batch_00_collet_1_29-01-2025/column_3_1st_jam_69_holes/reg_mics/250129_005.TAKE/01_common_Tr2_ext.wav
01,common,Tr3,ext,96000,data/standardized/drill_4mm_01_batch_00_collet_1_29-01-2025/column_3_1st_jam_69_holes/reg_mics/250129_005.TAKE/01_common_Tr3_ext.wav
01,common,Tr1,ext,96000,data/standardized/drill_4mm_01_batch_00_collet_1_29-01-2025/column_3_1st_jam_69_holes/reg_mics/250129_005.TAKE/01_common_Tr1_ext.wav
01,ultrasonic,ch1,unknown,48000,data/standardized/drill_4mm_01_batch_00_collet_1_29-01-2025/column_3_2nd_jam_2_holes/ultrasonic_mics/72449036/01_ultrasonic_ch1_unknown.wav
01,ultrasonic,ch2,unknown,48000,data/standardized/drill_4mm_01_batch_00_collet_1_29-01-2025/column_3_2nd_jam_2_holes/ultrasonic_mics/72449036/01_ultrasonic_ch2_unknown.wav
01,ultrasonic,ch3,unknown,48000,data/standardized/drill_4mm_01_batch_00_collet_1_29-01-2025/column_3_2nd_jam_2_holes/ultrasonic_mics/72449036/01_ultrasonic_ch3_unknown.wav
01,ultrasonic,ch4,unknown,48000,data/standardized/drill_4mm_01_batch_00_collet_1_29-01-2025/column_3_2nd_jam_2_holes/ultrasonic_mics/72449036/01_ultrasonic_ch4_unknown.wav
01,ultrasonic,ch5,unknown,48000,data/standardized/drill_4mm_01_batch_00_collet_1_29-01-2025/column_3_2nd_jam_2_holes/ultrasonic_mics/72449036/01_ultrasonic_ch5_unknown.wav
01,ultrasonic,ch6,unknown,48000,data/standardized/drill_4mm_01_batch_00_collet_1_29-01-2025/column_3_2nd_jam_2_holes/ultrasonic_mics/72449036/01_ultrasonic_ch6_unknown.wav
01,ultrasonic,ch7,unknown,48000,data/standardized/drill_4mm_01_batch_00_collet_1_29-01-2025/column_3_2nd_jam_2_holes/ultrasonic_mics/72449036/01_ultrasonic_ch7_unknown.wav
01,ultrasonic,ch8,unknown,48000,data/standardized/drill_4mm_01_batch_00_collet_1_29-01-2025/column_3_2nd_jam_2_holes/ultrasonic_mics/72449036/01_ultrasonic_ch8_unknown.wav
01,common,Tr6,int,96000,data/standardized/drill_4mm_01_batch_00_collet_1_29-01-2025/column_3_2nd_jam_2_holes/reg_mics/250129_006.TAKE/01_common_Tr6_int.wav
01,common,Tr4,int,96000,data/standardized/drill_4mm_01_batch_00_collet_1_29-01-2025/column_3_2nd_jam_2_holes/reg_mics/250129_006.TAKE/01_common_Tr4_int.wav
01,common,Tr5,int,96000,data/standardized/drill_4mm_01_batch_00_collet_1_29-01-2025/column_3_2nd_jam_2_holes/reg_mics/250129_006.TAKE/01_common_Tr5_int.wav
01,common,Tr1,ext,96000,data/standardized/drill_4mm_01_batch_00_collet_1_29-01-2025/column_3_2nd_jam_2_holes/reg_mics/250129_006.TAKE/01_common_Tr1_ext.wav
01,common,Tr2,ext,96000,data/standardized/drill_4mm_01_batch_00_collet_1_29-01-2025/column_3_2nd_jam_2_holes/reg_mics/250129_006.TAKE/01_common_Tr2_ext.wav
01,common,Tr3,ext,96000,data/standardized/drill_4mm_01_batch_00_collet_1_29-01-2025/column_3_2nd_jam_2_holes/reg_mics/250129_006.TAKE/01_common_Tr3_ext.wav
